Title,Company,Location,URL,Job Description,Skills,Accessibility,Interview,Sentiment,NER
Full Stack - Software Engineer (L5) - Platform Engineering,Netflix,"Los Gatos, CA",https://www.linkedin.com/jobs/view/full-stack-software-engineer-l5-platform-engineering-at-netflix-4049838471?position=1&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=hI6IhZ6mmCoCG8h5BYR6YQ%3D%3D,"Netflix is one of the world's leading entertainment services, with 283 million paid memberships in over 190 countries enjoying TV series, films and games across a wide variety of genres and languages. Members can play, pause and resume watching as much as they want, anytime, anywhere, and can change their plans at any time.

Netflix has been on the leading edge of the cloud since beginning the migration to AWS 15 years ago and runs one of the largest Cloud footprints around. The Cloud Engineering organization exists to manage that massive scale, constantly innovating to increase fleet-wide agility, efficiency, and reliability of the Netflix cloud infrastructure, while solving scale problems that we are the first to ever hit. We build, operate, and maintain Compute, Network, and Storage services so that developers at Netflix can rely on foundational building blocks when entertaining hundreds of millions of customers around the world. Join us as we push the boundaries of performance and resilience, empowering developers to create groundbreaking applications on a reliable platform.

We are looking to add new stunning colleagues to the organization, driving the transformation of how most Netflix engineers set up, change, or otherwise interact with their service infrastructure. You will partner across teams and functions to drive the next evolutionary stage of some of our most beloved and used UIs, like Spinnaker. Your work will enable us to evolve blueprints of highly efficient and fast-to-iterate services tailored to various product areas within the company, abstracting our developers from the nuances of the underlying infrastructure.

















Our compensation structure consists solely of an annual salary; we do not have bonuses. You choose each year how much of your compensation you want in salary versus stock options. To determine your personal top of market compensation, we rely on market indicators and consider your specific job family, background, skills, and experience to determine your compensation in the market range. The range for this role is $100,000 - $720,000

Netflix provides comprehensive benefits including Health Plans, Mental Health support, a 401(k) Retirement Plan with employer match, Stock Option Program, Disability Programs, Health Savings and Flexible Spending Accounts, Family-forming benefits, and Life and Serious Injury Benefits. We also offer paid leave of absence programs. Full-time hourly employees accrue 35 days annually for paid time off to be used for vacation, holidays, and sick paid time off. Full-time salaried employees are immediately entitled to flexible time off. See more detail about our Benefits here.

Inclusion is a Netflix value and we strive to host a meaningful interview experience for all candidates. If you want an accommodation/adjustment for a disability or any other reason during the hiring process, please send a request to your recruiting partner.

We are an equal-opportunity employer and celebrate diversity, recognizing that diversity builds stronger teams. We approach diversity and inclusion seriously and thoughtfully. We do not discriminate on the basis of race, religion, color, ancestry, national origin, caste, sex, sexual orientation, gender, gender identity or expression, age, disability, medical condition, pregnancy, genetic makeup, marital status, or military service.",['aws'],[],[],"('Positive', 'Objective')","[dict_items([('GPE', ['netflix'])])]"
Frontend Engineer,Porter,"New York, NY",https://www.linkedin.com/jobs/view/frontend-engineer-at-porter-3625989459?position=2&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=nLZQAdacn5nhHoNPphlSJA%3D%3D,"The Role

We're looking for an experienced frontend engineer. We want someone with programming (and ideally also design) chops who can own the frontend and take our product to the next level as we scale.

We're building a PaaS that runs in a user's own cloud (basically Heroku on k8s) and we've converted some of Heroku's largest enterprise users as well as a large base of high-growth startups despite starting just a little over a year ago.

Now that we're hitting our stride, we're focused on capturing as much mindshare as possible, so we need someone who can take the polish and devX of our PaaS to the next level.

This role would involve maximum ownership. Our entire engineering team is currently full-stack (leaning backend) or on infra side. I (Justin) do most of the day-to-day FE/UX work as a founder, so we want someone with more experience who can do it worlds better.







Porter is open source. You can view our entire codebase here: https://github.com/porter-dev/porter.



Interested? Email your resume to jobs at porter.run and let us know why you would be a great fit for this role.","['https', 'github']",[],['github'],"('Positive', 'Subjective')","[dict_items([('ORG', ['justin'])])]"
Front-End / Full-Stack Developer,Corsair,"Milpitas, CA",https://www.linkedin.com/jobs/view/front-end-full-stack-developer-at-corsair-4190110436?position=3&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=e%2FZD%2F4hvNO%2F4etzwjqdtIA%3D%3D,"Job Description

We are a fast-growing eCommerce company specializing in high-performance sim racing hardware. Our mission is to deliver the best tools for sim racing enthusiasts, with a focus on providing premium, high-quality products. We're building an advanced, user-friendly online experience for our passionate community, and we're looking for a talented Hybrid Front-End & Full-Stack Developer to join our team.



We are seeking a dynamic and versatile developer to take on a hybrid front-end and full-stack role. You’ll be responsible for building new features and optimizing the front-end experience for our eCommerce site, while also contributing to the back-end functionality and integrations. This role involves collaborating with cross-functional teams to develop new UI/UX components, creating reusable content blocks with Contentful CMS, and ensuring the site is media-rich and performs efficiently across all devices.

As part of the development team, you’ll work within our modern tech stack—Shopify Plus (headless), Contentful CMS, Jasper Product PIM, React, Next.js, Tailwind CSS, and TypeScript—to create an engaging, performance-driven site that supports our growing business.











For roles that are based at our headquarters in Milpitas, CA: The starting base pay for this position is as shown below. The actual base pay is dependent upon a variety of job-related factors such as professional background, training, work experience, location, business needs and market demand. Therefore, in some circumstances, the actual salary could fall outside of this expected range. This pay range is subject to change and may be modified in the future.

Annual Salary Range $100,000—$130,000 USD



CORSAIR (NASDAQ:CRSR), founded in 1994, is a leading global developer and manufacturer of high-performance gaming and streaming gear. With 21 different product lines, CORSAIR offers a complete range of products that help digital athletes perform at their peak and enable streaming creators to produce studio-quality content for their fans. CORSAIR has built a passionate base of loyal customers due to its gamer- and creator-centric design philosophy, commitment to high performance, and professional quality.

The company has received more than 4,000 product awards and has a footprint that reaches customers in more than 75 countries. CORSAIR also includes subsidiary brands Elgato, which provides premium studio equipment and accessories for content creators, SCUF Gaming, which builds custom-designed controllers for competitive gamers, and ORIGIN PC, a builder of custom gaming and workstation desktop PCs and laptops.","['css', 'tailwind css', 'typescript', 'react']",['css'],[],"('Neutral', 'Objective')","[dict_items([('ORG', ['cms']), ('GPE', ['milpitas'])])]"
Frontend Developer,Adapty.io,United States,https://www.linkedin.com/jobs/view/frontend-developer-at-adapty-io-4201424443?position=4&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=sCgNga%2FJy5wnOfUDkmz2RQ%3D%3D,"Adapty is a revenue management platform for mobile apps that simplifies subscription implementation and paywall management. We help developers quickly monetize their apps, serving 8,000+ apps and processing $1.4 billion in in-app subscriptions annually. Backed by top investors like 500 Startups and Surface Ventures.

You’ll be part of the technical team, which is responsible for the infrastructure, scalability, and reliability of our platform. This team ensures our technology is robust, secure, and innovative, allowing us to deliver a seamless experience to our customers.



















Job Information

Department

Frontend Development

Location

Remote

Employee Type

Full-time

Apply for a job now",[],[],[],"('Positive', 'Objective')",[dict_items([])]
Junior Web Developer,IntelliBridge,"Washington, DC",https://www.linkedin.com/jobs/view/junior-web-developer-at-intellibridge-4181439979?position=5&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=dyE6t7%2Fyz4blSi85MG44KQ%3D%3D,"Overview

IntelliBridge is an award-winning national security company looking for a Junior Web Developer to support our contract with a federal agency focused on critical infrastructure protection and secure information sharing with the private sector. In this role, you will assist in the development of enterprise-level websites and information systems that enhance the agency’s collaboration with the private sector. The Junior Web Developer will focus on supporting senior developers, contributing to the integration of new features, and ensuring the seamless operation of existing platforms.

You will work as part of a dynamic and collaborative team, providing creative solutions and learning new technologies to help deliver enterprise-class web applications. As you build your skills, you will contribute to enhancing legacy systems and supporting the deployment of new features, ensuring seamless software integration and deployment.

As a direct employee of IntelliBridge, you would receive a benefit package that includes health/dental/vision insurance coverage, 401K with company match, PTO & paid holidays, and annual tuition/training assistance. For more information, please visit our website .






















IntelliBridge delivers IT strategy, cloud, cybersecurity, application, data and analytics, enterprise IT, intelligence analysis, and mission operation support services to accelerate technical performance and efficiency for Defense, Civilian, and National Security & Federal Law Enforcement clients.",[],"['collaborative', 'junior web developer']",['collaboration'],"('Positive', 'Objective')","[dict_items([('PRODUCT', ['401k']), ('ORG', ['pto &', 'national security & federal law enforcement'])])]"
Web Front-End Developer,Lenovo,"Morrisville, NC",https://www.linkedin.com/jobs/view/web-front-end-developer-at-lenovo-4177153274?position=6&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=cDaVaiAF243b%2Bisdnb7wQg%3D%3D,"We are Lenovo. We do what we say. We own what we do. We WOW our customers.

Lenovo is a US$57 billion revenue global technology powerhouse, ranked #248 in the Fortune Global 500, and serving millions of customers every day in 180 markets. Focused on a bold vision to deliver Smarter Technology for All, Lenovo has built on its success as the world’s largest PC company with a full-stack portfolio of AI-enabled, AI-ready, and AI-optimized devices (PCs, workstations, smartphones, tablets), infrastructure (server, storage, edge, high performance computing and software defined infrastructure), software, solutions, and services. Lenovo’s continued investment in world-changing innovation is building a more equitable, trustworthy, and smarter future for everyone, everywhere. Lenovo is listed on the Hong Kong stock exchange under Lenovo Group Limited (HKSE: 992) (ADR: LNVGY).

This transformation together with Lenovo’s world-changing innovation is building a more inclusive, trustworthy, and smarter future for everyone, everywhere. To find out more visit www.lenovo.com, and read about the latest news via our StoryHub.





We are seeking a talented to design and develop dynamic, interactive, and intuitive user interfaces for . In this role, you will collaborate with AI engineers and backend developers to create seamless front-end experiences that enhance the functionality of AI-driven agents. Your work will directly impact how users interact with autonomous AI systems, ensuring usability, efficiency, and scalability.













The base salary range budgeted for this position in CA, CO, Jersey City - NJ, NV, Ithaca - NY, NYC, WA, is $90k - $130k. Individuals may also be considered for bonus and/or commission. Lenovo’s various benefits can be found here: https://www.lenovobenefits.com/enrolling-in-benefits/why-join-lenovo/

In compliance with Colorado's EPEWA, the expected Application Deadline for this position is 4/11/25. This applies to internal and external candidates.",['https'],[],['portfolio'],"('Positive', 'Objective')","[dict_items([('ORG', ['the hong kong stock exchange', 'lenovo group limited', 'lenovo']), ('GPE', ['jersey city - nj', 'colorado'])])]"
Software Engineer (Frontend) - Early in Career,Splunk,"Colorado, United States",https://www.linkedin.com/jobs/view/software-engineer-frontend-early-in-career-at-splunk-4177397229?position=7&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=07HeJ8bEPDe9SGFTV2CNDA%3D%3D,"Splunk, a Cisco company, is building a safer and more resilient digital world with an end-to-end full stack platform made for a hybrid, multi-cloud world. Leading enterprises use our unified security and observability platform to keep their digital systems secure and reliable. Our customers love our technology, but it's our caring employees that make Splunk stand out as an amazing career destination. No matter where in the world or what level of the organization, we approach our work with kindness. So bring your work experience, problem-solving skills and talent, of course, but also bring your joy, your passion and all the things that make you, you. Come help organizations be their best, while you reach new heights with a team that has your back.



Splunk is looking for new grads or early in career talent to join our team. As a , you will work on real projects that go to market. You will also have an opportunity to enjoy our dynamic, startup-like environment. You will get invaluable work experience at a leader in “Big Data”, the hottest software market now.

You will experience Splunking and what defines our culture while honing the skills which separate our development teams from others. Working to support internal and external customer needs, you will collaborate with cross-functional teams, receive mentorship, and gain insight into our values-driven process. Our goal is both to support your growth and development while empowering you for a successful start to your career.



You will get to work with smart and hardworking individuals who are doing state of the art development work (native mobile, front-end and back-end, DevOps) in areas of machine learning, data analytics, infrastructure and event correlations across silos to build best-in-class business analytics software. You will be interacting with product management and customers to understand detailed requirements. You will also work with other engineering teams across Splunk to design and build high-performance solutions.









We’ve taken special care to separate the must-have qualifications from the nice-to-haves. “Nice-to-have” means just that Nice. To. Have. So, don’t worry if you can’t check off every box. We’re not hiring a list of bullet points–we’re interested in the whole you.





Splunk, a Cisco company, is an Equal Opportunity Employer and all qualified applicants will receive consideration for employment without regard to race, color, religion, gender, sexual orientation, national origin, genetic information, age, disability, veteran status, or any other legally protected basis.

Note



SF Bay Area, Seattle Metro, and New York City Metro Area

Base Pay Range $119,200.00 - 163,900.00 per year

California (excludes SF Bay Area), Washington (excludes Seattle Metro), Washington DC Metro, and Massachusetts

Base Pay Range $107,280.00 - 147,510.00 per year

All other cities and states excluding California, Washington, Massachusetts, New York City Metro Area and Washington DC Metro Area.

Base Pay Range $95,360.00 - 131,120.00 per year

Splunk provides flexibility and choice in the working arrangement for most roles, including remote and/or in-office roles. We have a market-based pay structure which varies by location. Please note that the base pay range is a guideline and for candidates who receive an offer, the base pay will vary based on factors such as work location as set out above, as well as the knowledge, skills and experience of the candidate.

Benefits are an important part of Splunk's Total Rewards package. This role is eligible for a competitive benefits package which includes medical, dental, vision, a 401(k) plan and match, paid time off and much more! Learn more about our next-level benefits at https //splunkbenefits.com.","['https', 'go', 'splunk']","['mentorship', 'veteran', 'hardworking']",[],"('Positive', 'Objective')","[dict_items([('LOC', ['bay area', 'metro']), ('GPE', ['new york city', 'california', 'washington', 'massachusetts'])])]"
Front-End Web Developer,Two Barrels LLC,"Spokane Valley, WA",https://www.linkedin.com/jobs/view/front-end-web-developer-at-two-barrels-llc-4198729479?position=8&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=JPBHBu2eC5Jf76LnoFgeDg%3D%3D,"Overview

We are hiring a Front-End Web Developer to help build, optimize, and maintain our web applications. This role requires strong Front-End development expertise, the ability to drive UI/UX execution, and a commitment to delivering high-quality, user-focused applications. You will contribute to our core codebase, documentation, and Front-End architecture, ensuring usability, accessibility, and performance. What’s in a title?

Here at Two Barrels we don’t take titles very seriously. We know for recruiting purposes we need to call our jobs something, so we started with labeling and differentiating them in a fairly traditional way with “junior, mid, senior”. However, we’ve realized that was putting our employees in a box and wasn’t allowing us to uniquely identify their individual contributions, strengths and professional goals. Once you join our team the titles kinda get dropped as we expect everyone to work with everyone regardless of title or experience. We have taken the approach of evaluating candidates and employees on a “level” basis. It makes it a little easier internally to talk about growing into the next level without there being this huge chasm between what it means to be a Junior Engineer vs. a Mid Engineer. Our levels have expectations set for each one and it’s the responsibility of the manager and employee to make sure there is alignment. We do this through quarterly conversations where we discuss employee progression, if the work is challenging, and to ensure they feel fairly compensated for their work and expertise. Basically, levels gives us more flexibility to help people grow in their careers. But sure, you can post your title on LinkedIn as what makes sense to the rest of the world.

Location:

Remote | Spokane – Austin – SLC |



Full Time



$90,000-$95,000/Year DOE











You love making websites and you have a passion for making them the best they can possibly be. The sites you create are so insanely appealing, users will have no clue you spent a week weighing the philosophical benefits of particular hierarchical structures and reducing all unnecessary complexity.

#BI-Remote





Apply Now",['rest'],"['junior engineer', 'junior engineer']",[],"('Positive', 'Subjective')","[dict_items([('ORG', ['slc'])])]"
Full Stack Engineer,Porter,"New York, NY",https://www.linkedin.com/jobs/view/full-stack-engineer-at-porter-3625991287?position=9&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=WztNT3rpF%2BxO%2F2HPHVBjxQ%3D%3D,"View the Porter GitHub repo

The Role

We're looking for a full stack engineer who is fluent in React/Typescript but comfortable working across the entire stack. This includes building on top of our Go backend as well as working directly with the Kubernetes and Helm APIs. Since Porter is a PaaS that abstracts the complexity of Kubernetes, deeply considered design/architectural decisions are the lifeblood of our platform. The best implementation is not always the most obvious one, so an appetite for rigorously evaluating the tradeoffs of different options is essential.

You will be expected to push critical code on a daily basis while also working on larger features that constantly expand the capabilities of the platform.





We value rate of learning above all else. Full stack experience and fluency with React/TypeScript is expected, but less familiarity with Go/Kubernetes is fine if you're a voracious and self-directed learner. Infrastructure management isn't rocket science, but it does involve thinking and working across multiple levels of abstraction at once. If the idea of wrangling that complexity is exciting and not daunting to you, we'd love to talk. As is the case with most early-stage startups, you should be comfortable with regularly shifting priorities and iterating at a very high (daily) velocity.







Porter is open source. You can view our entire codebase here: https://github.com/porter-dev/porter.



Interested? Email your resume to jobs at porter.run and let us know why you would be a great fit for this role.","['kubernetes', 'go', 'https', 'react', 'less', 'helm', 'typescript', 'github']",[],['github'],"('Positive', 'Objective')",[dict_items([])]
Software Engineer (Full-Stack),Paces,"New York, NY",https://www.linkedin.com/jobs/view/software-engineer-full-stack-at-paces-4133341026?position=10&pageNum=0&refId=q9BdpB%2FvTLQcS2mrAxE%2BFA%3D%3D&trackingId=dV0afzp%2BF2Y1YPE3kwulPg%3D%3D,"In the next 30 years, the world will transform every part of the built environment to be climate positive green infrastructure. Knowing what, where, and how to build infrastructure like solar farms is one of the great opportunities of our time. However, there are problems!



80% of clean energy projects start never actually get built because most projects are started without deep due diligence on zoning and interconnection due to the cost of collecting that data. This means $17B worth of canceled projects per year.



Paces is software for green infrastructure developers to identify the best places to build and manage their projects. First we collect environmental, permitting, zoning, energy grid data from various different sources; then we analyze the data and use AI to identify the best places for developers to build their next projects.



We are building a team where people can proudly say their time at Paces was the Our amazing team in Brooklyn, New York includes incredible engineers and growth team members from companies like AWS, Meta AI, Deepmind, Replica, Yotpo, Rent The Runway & Leap.

Paces is growing rapidly and looking for exceptional people to join who want to have a massive positive climate impact while building a great culture! We are looking for to join us as we scale up. You will have the chance to build things from ground up and own a large portion of the tech stack.





📈





You will thrive in our culture if you:",['aws'],[],[],"('Positive', 'Subjective')","[dict_items([('GPE', ['brooklyn', 'new york'])])]"
